SAM id,SAM id,Samples IDs,Collection Date,Location3,Location2,Location,Location_FC,Location_FC2,Sample received,MUX ID,"Previous sampled ID for reference
(To GIS: Please replace the IDs in column B with those in column C) ","New sample ID
(To GIS: Please replace the IDs in column B with those in column C)",Qubit ng/uL,Tapestation ng/uL,Sample Name,"Sector ID
(approximate geolocation)",Date of sample collected,Day,Month ,Year,Premise Type,Total Aerobic Plate Count (CFU/g),Coliforms (CFU/g),Collection Round,Tapestation ng/uL.1,Collection Set,Location_cluster,Location_cluster2,cohort
WEM378,WEM378,Tables 9 (MEWR/GIS019),27/12/2018,HC_B,MEWR,MEWR_B,FC_I,I,29/01/2019,MUX10898,MEWR/GIS019,P1/GIS019,8.6,,Table 9,40.0,2018-12-27 00:00:00,27.0,12.0,2018.0,Hawker Centre,200,70,1,,1,4.0,4.0,Hawker Centre
WEM379,WEM379,Tables 10 (MEWR/GIS020),27/12/2018,HC_B,MEWR,MEWR_B,FC_I,I,29/01/2019,MUX10898,MEWR/GIS020,P1/GIS020,7.8,,Table 10,40.0,2018-12-27 00:00:00,27.0,12.0,2018.0,Hawker Centre,8400,160,1,,1,4.0,4.0,Hawker Centre
WEM380,WEM380,Tables 1 (MEWR/GIS021),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS021,P1/GIS021,23.8,,Table 1,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,200,Less than 10,1,,1,3.0,3.0,Hawker Centre
WEM381,WEM381,Tables 2 (MEWR/GIS022),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS022,P1/GIS022,16.7,,Table 2,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,2200,Less than 10,1,,1,3.0,3.0,Hawker Centre
WEM382,WEM382,Tables 3 (MEWR/GIS023),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS023,P1/GIS023,8.7,,Table 3,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,15000,40,1,,1,3.0,3.0,Hawker Centre
WEM383,WEM383,Tables 5 (MEWR/GIS025),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS025,P1/GIS025,10.8,,Table 5,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,800,90,1,,1,3.0,3.0,Hawker Centre
WEM384,WEM384,Tables 6 (MEWR/GIS026),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS026,P1/GIS026,11.3,,Table 6,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,4700,Less than 10,1,,1,3.0,3.0,Hawker Centre
WEM385,WEM385,Tables 7 (MEWR/GIS027),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS027,P1/GIS027,20.0,,Table 7,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,Less than 100,Less than 10,1,,1,3.0,3.0,Hawker Centre
WEM386,WEM386,Tables 8 (MEWR/GIS028),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS028,P1/GIS028,3.6,,Table 8,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,200000,More than 1 500,1,,1,3.0,3.0,Hawker Centre
WEM387,WEM387,Tables 9 (MEWR/GIS029),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS029,P1/GIS029,16.8,,Table 9,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,Less than 100,Less than 10,1,,1,3.0,3.0,Hawker Centre
WEM388,WEM388,Tables 10 (MEWR/GIS030),24/1/2019,HC_C,MEWR,MEWR_C,FC_J,J,29/01/2019,MUX10898,MEWR/GIS030,P1/GIS030,24.2,,Table 10,61.0,2019-01-24 00:00:00,24.0,1.0,2019.0,Hawker Centre,150000,More than 1 500,1,,1,3.0,3.0,Hawker Centre
WEM389,WEM389,Tables 2 (MEWR/GIS032),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS032,P1/GIS032,21.5,,Table 2,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,830000,More than 1 500,1,,1,4.0,4.0,Hawker Centre
WEM390,WEM390,Tables 3 (MEWR/GIS033),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS033,P1/GIS033,15.9,,Table 3,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,89000,20,1,,1,4.0,4.0,Hawker Centre
