,auc_train,acc_train,auc_test,acc_test,classifier,read_type,transformation
0,0.9324243628922712,0.3068181818181818,0.8358718487394958,0.13513513513513514,Logistic Regression,all,TSS
1,0.941436303106995,0.26136363636363635,0.8689950980392157,0.10810810810810811,Logistic Regression,all,TSS
2,0.9358689111848089,0.4772727272727273,0.8851015406162465,0.35135135135135137,Logistic Regression,all,TSS
3,0.9321312908428139,0.45454545454545453,0.8809523809523809,0.3783783783783784,Logistic Regression,all,TSS
4,0.9419950271469152,0.42045454545454547,0.8912990196078432,0.32432432432432434,Logistic Regression,all,TSS
0,0.9869221168209423,0.6704545454545454,0.8265843837535014,0.4594594594594595,KNeighborsClassifier,all,TSS
1,0.9822329757716504,0.625,0.8759016106442576,0.5405405405405406,KNeighborsClassifier,all,TSS
2,0.984813131008354,0.7045454545454546,0.8626575630252101,0.5945945945945946,KNeighborsClassifier,all,TSS
3,0.9856018859847054,0.7272727272727273,0.8588060224089635,0.5945945945945946,KNeighborsClassifier,all,TSS
4,0.9867565208569469,0.6704545454545454,0.8765231092436975,0.5675675675675675,KNeighborsClassifier,all,TSS
0,0.5442092103735628,0.25,0.5554271708683474,0.16216216216216217,SVC (Linear),all,TSS
1,0.8131314047485594,0.26136363636363635,0.772671568627451,0.10810810810810811,SVC (Linear),all,TSS
2,0.06792391692204358,0.4318181818181818,0.11852240896358543,0.2972972972972973,SVC (Linear),all,TSS
3,0.07302502693701635,0.4090909090909091,0.12032563025210084,0.35135135135135137,SVC (Linear),all,TSS
4,0.05943020776485735,0.4431818181818182,0.12002801120448181,0.3783783783783784,SVC (Linear),all,TSS
0,0.2513642933943802,0.2840909090909091,0.31948529411764703,0.16216216216216217,SVC (RBF),all,TSS
1,0.3414327541810033,0.3409090909090909,0.4052170868347339,0.16216216216216217,SVC (RBF),all,TSS
2,0.6627601324286694,0.45454545454545453,0.6470763305322128,0.35135135135135137,SVC (RBF),all,TSS
3,0.2931001991415138,0.4318181818181818,0.32622549019607844,0.35135135135135137,SVC (RBF),all,TSS
4,0.5236376363467808,0.4318181818181818,0.5781162464985994,0.3783783783783784,SVC (RBF),all,TSS
0,0.9721955795662972,0.75,0.8745098039215686,0.4864864864864865,Gaussian Process,all,TSS
1,0.950261049521353,0.7272727272727273,0.8972864145658264,0.5405405405405406,Gaussian Process,all,TSS
2,0.9550528114198956,0.6931818181818182,0.8789740896358543,0.5675675675675675,Gaussian Process,all,TSS
3,0.9611115192477226,0.6704545454545454,0.9095588235294116,0.6216216216216216,Gaussian Process,all,TSS
4,0.9873271723654199,0.7613636363636364,0.9438200280112046,0.5405405405405406,Gaussian Process,all,TSS
0,0.8570657727697473,0.5454545454545454,0.7049019607843137,0.2972972972972973,Decision Tree,all,TSS
1,0.850238314125647,0.48863636363636365,0.7534138655462184,0.24324324324324326,Decision Tree,all,TSS
2,0.818018262072681,0.45454545454545453,0.6919467787114846,0.2972972972972973,Decision Tree,all,TSS
3,0.8118821103228244,0.4318181818181818,0.6971813725490197,0.2972972972972973,Decision Tree,all,TSS
4,0.8000136434238697,0.4090909090909091,0.704875700280112,0.2702702702702703,Decision Tree,all,TSS
0,0.9976433317474311,0.9204545454545454,0.8227766106442577,0.2972972972972973,Random Forest,all,TSS
1,0.9991526124338623,0.9545454545454546,0.7936537114845938,0.4594594594594595,Random Forest,all,TSS
2,0.9932179720624659,0.9090909090909091,0.7695728291316526,0.4594594594594595,Random Forest,all,TSS
3,0.9974685326672544,0.9204545454545454,0.856547619047619,0.5135135135135135,Random Forest,all,TSS
4,0.9992378048780488,0.9659090909090909,0.8860556722689076,0.5945945945945946,Random Forest,all,TSS
0,0.8044875535501148,0.19318181818181818,0.7144957983193277,0.10810810810810811,MLPClassifier,all,TSS
1,0.849894114462755,0.22727272727272727,0.7564600840336135,0.10810810810810811,MLPClassifier,all,TSS
2,0.8313124776982495,0.2840909090909091,0.7779761904761904,0.2702702702702703,MLPClassifier,all,TSS
3,0.8618840562598827,0.3068181818181818,0.8040966386554621,0.24324324324324326,MLPClassifier,all,TSS
4,0.855657921319424,0.3181818181818182,0.7785889355742297,0.24324324324324326,MLPClassifier,all,TSS
0,0.6774394527717269,0.2727272727272727,0.654516806722689,0.21621621621621623,AdaBoostClassifier,all,TSS
1,0.6725900083752223,0.26136363636363635,0.5907563025210084,0.16216216216216217,AdaBoostClassifier,all,TSS
2,0.7650625367322951,0.32954545454545453,0.6912289915966385,0.21621621621621623,AdaBoostClassifier,all,TSS
3,0.6208378811412899,0.19318181818181818,0.5907563025210084,0.16216216216216217,AdaBoostClassifier,all,TSS
4,0.6208378811412899,0.19318181818181818,0.5907563025210084,0.1891891891891892,AdaBoostClassifier,all,TSS
0,1.0,1.0,0.7208070728291316,0.4594594594594595,GaussianNB,all,TSS
1,1.0,1.0,0.7669117647058823,0.5675675675675675,GaussianNB,all,TSS
2,1.0,1.0,0.7875700280112043,0.5675675675675675,GaussianNB,all,TSS
3,1.0,1.0,0.7754026610644258,0.5405405405405406,GaussianNB,all,TSS
4,1.0,1.0,0.732983193277311,0.4594594594594595,GaussianNB,all,TSS
0,1.0,1.0,0.48337710084033614,0.02702702702702703,QuadraticDiscriminantAnalysis,all,TSS
1,1.0,1.0,0.5832720588235294,0.21621621621621623,QuadraticDiscriminantAnalysis,all,TSS
2,1.0,1.0,0.5666491596638656,0.1891891891891892,QuadraticDiscriminantAnalysis,all,TSS
3,1.0,1.0,0.572093837535014,0.1891891891891892,QuadraticDiscriminantAnalysis,all,TSS
4,1.0,1.0,0.5554709383753501,0.16216216216216217,QuadraticDiscriminantAnalysis,all,TSS
0,1.0,1.0,0.9212272408963584,0.6216216216216216,Logistic Regression,all,CSS
1,1.0,1.0,0.9579131652661065,0.7567567567567568,Logistic Regression,all,CSS
2,1.0,1.0,0.8931197478991596,0.6486486486486487,Logistic Regression,all,CSS
3,1.0,1.0,0.9161064425770308,0.6756756756756757,Logistic Regression,all,CSS
4,1.0,1.0,0.9595763305322129,0.7567567567567568,Logistic Regression,all,CSS
0,0.979231082811372,0.5681818181818182,0.7908700980392157,0.35135135135135137,KNeighborsClassifier,all,CSS
1,0.9748727976252021,0.5568181818181818,0.8634103641456583,0.2972972972972973,KNeighborsClassifier,all,CSS
