,auc_train,acc_train,auc_test,acc_test,classifier,read_type,transformation
2,0.9780149507000127,0.6136363636363636,0.857545518207283,0.4864864864864865,KNeighborsClassifier,all,CSS
3,0.9795614185837427,0.6022727272727273,0.8101628151260504,0.40540540540540543,KNeighborsClassifier,all,CSS
4,0.9809811873801828,0.6136363636363636,0.8383753501400559,0.43243243243243246,KNeighborsClassifier,all,CSS
0,0.9193437075829449,1.0,0.8680322128851541,0.5945945945945946,SVC (Linear),all,CSS
1,0.9578872173427223,1.0,0.912920168067227,0.7297297297297297,SVC (Linear),all,CSS
2,0.9216597553104404,1.0,0.8663865546218488,0.6756756756756757,SVC (Linear),all,CSS
3,0.9340932217546143,1.0,0.8707983193277311,0.6216216216216216,SVC (Linear),all,CSS
4,0.9394291560842674,1.0,0.8825105042016806,0.7027027027027027,SVC (Linear),all,CSS
0,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CSS
1,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CSS
2,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CSS
3,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CSS
4,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CSS
0,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CSS
1,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CSS
2,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CSS
3,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CSS
4,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CSS
0,0.8274300575317142,0.48863636363636365,0.7603466386554623,0.3783783783783784,Decision Tree,all,CSS
1,0.7859977179656812,0.42045454545454547,0.6769782913165265,0.2702702702702703,Decision Tree,all,CSS
2,0.8973827802499195,0.5227272727272727,0.7935224089635855,0.4594594594594595,Decision Tree,all,CSS
3,0.8170447469319788,0.4431818181818182,0.7596288515406162,0.3783783783783784,Decision Tree,all,CSS
4,0.9327875526496229,0.6363636363636364,0.7910276610644258,0.4594594594594595,Decision Tree,all,CSS
0,0.9971641166064438,0.9318181818181818,0.8732668067226891,0.6216216216216216,Random Forest,all,CSS
1,0.9959006993582796,0.8977272727272727,0.8007615546218487,0.2972972972972973,Random Forest,all,CSS
2,0.9954268292682926,0.9318181818181818,0.8355654761904762,0.43243243243243246,Random Forest,all,CSS
3,0.9965031729706282,0.9204545454545454,0.8083333333333333,0.40540540540540543,Random Forest,all,CSS
4,0.9998493975903615,0.9545454545454546,0.8165441176470588,0.4864864864864865,Random Forest,all,CSS
0,1.0,1.0,0.8386904761904761,0.5675675675675675,MLPClassifier,all,CSS
1,1.0,1.0,0.8893294817927171,0.6486486486486487,MLPClassifier,all,CSS
2,0.9996987951807229,0.9886363636363636,0.8651785714285714,0.7027027027027027,MLPClassifier,all,CSS
3,1.0,1.0,0.8760591736694678,0.6486486486486487,MLPClassifier,all,CSS
4,1.0,1.0,0.9256740196078431,0.7567567567567568,MLPClassifier,all,CSS
0,0.681473579503198,0.2159090909090909,0.6266106442577031,0.13513513513513514,AdaBoostClassifier,all,CSS
1,0.6703854228373035,0.26136363636363635,0.6108718487394957,0.16216216216216217,AdaBoostClassifier,all,CSS
2,0.6590960969312791,0.18181818181818182,0.6195378151260504,0.10810810810810811,AdaBoostClassifier,all,CSS
3,0.6738582159649049,0.14772727272727273,0.6732142857142858,0.13513513513513514,AdaBoostClassifier,all,CSS
4,0.7655317480724292,0.13636363636363635,0.6932072829131652,0.08108108108108109,AdaBoostClassifier,all,CSS
0,0.9934487061032878,0.875,0.8154674369747898,0.5405405405405406,GaussianNB,all,CSS
1,0.9991623903019485,0.9659090909090909,0.8667016806722689,0.7027027027027027,GaussianNB,all,CSS
2,0.9954477972867078,0.8863636363636364,0.8687937675070028,0.6486486486486487,GaussianNB,all,CSS
3,0.9947916666666667,0.8863636363636364,0.8553133753501401,0.6486486486486487,GaussianNB,all,CSS
4,0.9973323170731707,0.9318181818181818,0.8624037114845937,0.5945945945945946,GaussianNB,all,CSS
0,1.0,1.0,0.5165178571428571,0.08108108108108109,QuadraticDiscriminantAnalysis,all,CSS
1,1.0,1.0,0.4834033613445378,0.02702702702702703,QuadraticDiscriminantAnalysis,all,CSS
2,1.0,1.0,0.5112832633053221,0.08108108108108109,QuadraticDiscriminantAnalysis,all,CSS
3,1.0,1.0,0.5330357142857143,0.10810810810810811,QuadraticDiscriminantAnalysis,all,CSS
4,1.0,1.0,0.5,0.05405405405405406,QuadraticDiscriminantAnalysis,all,CSS
0,1.0,1.0,0.9910714285714286,0.8648648648648649,Logistic Regression,all,CLR
1,1.0,1.0,0.9875,0.918918918918919,Logistic Regression,all,CLR
2,1.0,1.0,0.99375,0.8918918918918919,Logistic Regression,all,CLR
3,1.0,1.0,0.99375,0.8918918918918919,Logistic Regression,all,CLR
4,1.0,1.0,0.9919642857142857,0.8918918918918919,Logistic Regression,all,CLR
0,0.9956807408528163,0.8636363636363636,0.8941439075630253,0.7027027027027027,KNeighborsClassifier,all,CLR
1,0.9962511309999968,0.8636363636363636,0.9272058823529412,0.7297297297297297,KNeighborsClassifier,all,CLR
2,0.9955040108167863,0.8409090909090909,0.9336134453781513,0.7027027027027027,KNeighborsClassifier,all,CLR
3,0.9962504361960036,0.8181818181818182,0.9590423669467787,0.6756756756756757,KNeighborsClassifier,all,CLR
4,0.9975364764808362,0.8409090909090909,0.9602415966386555,0.7027027027027027,KNeighborsClassifier,all,CLR
0,1.0,1.0,0.9734943977591036,0.7837837837837838,SVC (Linear),all,CLR
1,1.0,1.0,0.9794642857142858,0.8918918918918919,SVC (Linear),all,CLR
2,1.0,1.0,0.9848214285714286,0.8648648648648649,SVC (Linear),all,CLR
3,1.0,1.0,0.9839285714285715,0.8648648648648649,SVC (Linear),all,CLR
4,1.0,1.0,0.9821428571428572,0.8648648648648649,SVC (Linear),all,CLR
0,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CLR
1,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CLR
2,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CLR
3,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CLR
4,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,CLR
0,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CLR
1,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CLR
2,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CLR
3,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CLR
4,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,CLR
0,0.8613947522895816,0.5227272727272727,0.6851365546218487,0.2972972972972973,Decision Tree,all,CLR
1,0.7767229916245185,0.4090909090909091,0.6274334733893556,0.1891891891891892,Decision Tree,all,CLR
2,0.8561499919538782,0.4659090909090909,0.751811974789916,0.40540540540540543,Decision Tree,all,CLR
3,0.84086911124463,0.48863636363636365,0.724641106442577,0.35135135135135137,Decision Tree,all,CLR
4,0.7719339903166673,0.3977272727272727,0.7206495098039216,0.32432432432432434,Decision Tree,all,CLR
0,0.9970553089244318,0.9204545454545454,0.7674369747899159,0.2972972972972973,Random Forest,all,CLR
1,0.9971232393763984,0.9318181818181818,0.8336046918767507,0.32432432432432434,Random Forest,all,CLR
2,0.9998729674796748,0.9886363636363636,0.8396008403361345,0.4864864864864865,Random Forest,all,CLR
3,0.9974540365293929,0.9204545454545454,0.8923494397759103,0.5945945945945946,Random Forest,all,CLR
4,0.9979711310398388,0.9431818181818182,0.8797268907563025,0.4864864864864865,Random Forest,all,CLR
0,1.0,1.0,0.9904586834733894,0.8918918918918919,MLPClassifier,all,CLR
1,1.0,1.0,0.9928571428571429,0.918918918918919,MLPClassifier,all,CLR
2,1.0,1.0,0.99375,0.918918918918919,MLPClassifier,all,CLR
3,1.0,1.0,0.9919642857142857,0.918918918918919,MLPClassifier,all,CLR
4,1.0,1.0,0.9946428571428572,0.8918918918918919,MLPClassifier,all,CLR
0,0.681473579503198,0.2159090909090909,0.6516806722689075,0.13513513513513514,AdaBoostClassifier,all,CLR
1,0.5709822124995012,0.1590909090909091,0.5603466386554622,0.08108108108108109,AdaBoostClassifier,all,CLR
2,0.6590960969312791,0.18181818181818182,0.6466036414565826,0.13513513513513514,AdaBoostClassifier,all,CLR
3,0.748950811958636,0.18181818181818182,0.7237920168067227,0.16216216216216217,AdaBoostClassifier,all,CLR
4,0.6738517659488128,0.13636363636363635,0.6429096638655463,0.08108108108108109,AdaBoostClassifier,all,CLR
0,1.0,0.9886363636363636,0.8078518907563025,0.43243243243243246,GaussianNB,all,CLR
1,1.0,1.0,0.807484243697479,0.5945945945945946,GaussianNB,all,CLR
2,0.999242396414928,0.9772727272727273,0.8689775910364146,0.5945945945945946,GaussianNB,all,CLR
3,1.0,0.9886363636363636,0.8401348039215686,0.4594594594594595,GaussianNB,all,CLR
4,1.0,1.0,0.8246498599439775,0.5135135135135135,GaussianNB,all,CLR
0,1.0,1.0,0.6268294817927171,0.2702702702702703,QuadraticDiscriminantAnalysis,all,CLR
1,1.0,1.0,0.5553658963585434,0.16216216216216217,QuadraticDiscriminantAnalysis,all,CLR
2,1.0,1.0,0.6275647759103641,0.2972972972972973,QuadraticDiscriminantAnalysis,all,CLR
3,1.0,1.0,0.5275122549019607,0.10810810810810811,QuadraticDiscriminantAnalysis,all,CLR
4,1.0,1.0,0.5222514005602241,0.10810810810810811,QuadraticDiscriminantAnalysis,all,CLR
0,1.0,1.0,0.9910714285714286,0.8648648648648649,Logistic Regression,all,ILR
1,1.0,1.0,0.9875,0.918918918918919,Logistic Regression,all,ILR
2,1.0,1.0,0.99375,0.8918918918918919,Logistic Regression,all,ILR
3,1.0,1.0,0.99375,0.8918918918918919,Logistic Regression,all,ILR
4,1.0,1.0,0.9919642857142857,0.8918918918918919,Logistic Regression,all,ILR
0,0.9956807408528163,0.8636363636363636,0.8941439075630253,0.7027027027027027,KNeighborsClassifier,all,ILR
1,0.9962511309999968,0.8636363636363636,0.9272058823529412,0.7297297297297297,KNeighborsClassifier,all,ILR
2,0.9955040108167863,0.8409090909090909,0.9336134453781513,0.7027027027027027,KNeighborsClassifier,all,ILR
3,0.9962504361960036,0.8181818181818182,0.9590423669467787,0.6756756756756757,KNeighborsClassifier,all,ILR
4,0.9975364764808362,0.8409090909090909,0.9602415966386555,0.7027027027027027,KNeighborsClassifier,all,ILR
0,1.0,1.0,0.976453081232493,0.7837837837837838,SVC (Linear),all,ILR
1,1.0,1.0,0.9794642857142858,0.8918918918918919,SVC (Linear),all,ILR
2,1.0,1.0,0.9848214285714286,0.8648648648648649,SVC (Linear),all,ILR
3,1.0,1.0,0.9839285714285715,0.8648648648648649,SVC (Linear),all,ILR
4,1.0,1.0,0.9839285714285715,0.8648648648648649,SVC (Linear),all,ILR
0,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,ILR
1,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,ILR
2,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,ILR
3,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,ILR
4,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),all,ILR
0,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,ILR
1,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,ILR
2,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,ILR
3,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,ILR
4,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,all,ILR
0,0.8663302373903927,0.4659090909090909,0.6998074229691876,0.1891891891891892,Decision Tree,all,ILR
1,0.7883724322943471,0.42045454545454547,0.5722426470588236,0.10810810810810811,Decision Tree,all,ILR
2,0.7823355705050166,0.375,0.6235994397759103,0.16216216216216217,Decision Tree,all,ILR
3,0.8284114244434182,0.4772727272727273,0.6396358543417366,0.21621621621621623,Decision Tree,all,ILR
4,0.8607966819368065,0.38636363636363635,0.7485119047619048,0.2972972972972973,Decision Tree,all,ILR
0,0.997448736826905,0.8977272727272727,0.7649772408963585,0.43243243243243246,Random Forest,all,ILR
1,0.9926554116193772,0.8863636363636364,0.859733893557423,0.5405405405405406,Random Forest,all,ILR
2,0.9996987951807229,0.9545454545454546,0.8551820728291317,0.32432432432432434,Random Forest,all,ILR
3,0.9920526072058268,0.875,0.7901435574229692,0.2702702702702703,Random Forest,all,ILR
4,0.9974593495934959,0.9431818181818182,0.8695728291316527,0.5135135135135135,Random Forest,all,ILR
0,1.0,1.0,0.9901785714285715,0.8918918918918919,MLPClassifier,all,ILR
1,1.0,1.0,0.99375,0.918918918918919,MLPClassifier,all,ILR
2,1.0,1.0,0.9946428571428572,0.918918918918919,MLPClassifier,all,ILR
3,1.0,1.0,0.98125,0.918918918918919,MLPClassifier,all,ILR
4,1.0,1.0,0.9946428571428572,0.918918918918919,MLPClassifier,all,ILR
0,0.672588259218316,0.26136363636363635,0.517156862745098,0.08108108108108109,AdaBoostClassifier,all,ILR
1,0.5709822124995012,0.1590909090909091,0.5582983193277311,0.10810810810810811,AdaBoostClassifier,all,ILR
2,0.62083788114129,0.19318181818181818,0.49432773109243694,0.05405405405405406,AdaBoostClassifier,all,ILR
3,0.6810499839077564,0.14772727272727273,0.6114145658263305,0.08108108108108109,AdaBoostClassifier,all,ILR
4,0.7240297207995746,0.25,0.6199404761904762,0.1891891891891892,AdaBoostClassifier,all,ILR
0,1.0,0.9659090909090909,0.7899334733893557,0.35135135135135137,GaussianNB,all,ILR
1,1.0,0.9886363636363636,0.8085346638655462,0.5135135135135135,GaussianNB,all,ILR
2,0.9996189024390244,0.9886363636363636,0.8648021708683473,0.5945945945945946,GaussianNB,all,ILR
3,0.9996234939759037,0.9886363636363636,0.8489320728291316,0.3783783783783784,GaussianNB,all,ILR
4,1.0,1.0,0.8078518907563026,0.40540540540540543,GaussianNB,all,ILR
0,1.0,1.0,0.4831670168067227,0.02702702702702703,QuadraticDiscriminantAnalysis,all,ILR
1,1.0,1.0,0.4998424369747899,0.05405405405405406,QuadraticDiscriminantAnalysis,all,ILR
2,1.0,1.0,0.4945553221288515,0.05405405405405406,QuadraticDiscriminantAnalysis,all,ILR
3,1.0,1.0,0.5554971988795518,0.16216216216216217,QuadraticDiscriminantAnalysis,all,ILR
4,1.0,1.0,0.5388217787114846,0.13513513513513514,QuadraticDiscriminantAnalysis,all,ILR
0,0.8750955254266518,0.3181818181818182,0.6956407563025211,0.10810810810810811,Logistic Regression,non_microbial,TSS
1,0.8492964846383858,0.36363636363636365,0.7115021008403362,0.16216216216216217,Logistic Regression,non_microbial,TSS
2,0.8510134943082435,0.38636363636363635,0.7442051820728292,0.21621621621621623,Logistic Regression,non_microbial,TSS
3,0.8454792821110224,0.36363636363636365,0.761204481792717,0.1891891891891892,Logistic Regression,non_microbial,TSS
4,0.8593509162958453,0.375,0.7935224089635855,0.1891891891891892,Logistic Regression,non_microbial,TSS
0,0.9662654517767806,0.5681818181818182,0.6161327030812325,0.1891891891891892,KNeighborsClassifier,non_microbial,TSS
1,0.9650678981816412,0.5909090909090909,0.6139180672268908,0.21621621621621623,KNeighborsClassifier,non_microbial,TSS
2,0.9706819219386256,0.5909090909090909,0.689093137254902,0.24324324324324326,KNeighborsClassifier,non_microbial,TSS
3,0.9681068568699887,0.5227272727272727,0.6951943277310925,0.2972972972972973,KNeighborsClassifier,non_microbial,TSS
4,0.9651342521654562,0.5340909090909091,0.6563988095238096,0.24324324324324326,KNeighborsClassifier,non_microbial,TSS
0,0.7570180928579462,0.23863636363636365,0.5936974789915966,0.10810810810810811,SVC (Linear),non_microbial,TSS
1,0.6012107243012572,0.19318181818181818,0.5754551820728292,0.10810810810810811,SVC (Linear),non_microbial,TSS
2,0.19448253598015758,0.29545454545454547,0.2819152661064426,0.1891891891891892,SVC (Linear),non_microbial,TSS
3,0.5087617346563956,0.3181818181818182,0.5172794117647059,0.24324324324324326,SVC (Linear),non_microbial,TSS
4,0.16211173089570827,0.2840909090909091,0.25323879551820727,0.16216216216216217,SVC (Linear),non_microbial,TSS
0,0.2055137081912629,0.29545454545454547,0.4139705882352941,0.10810810810810811,SVC (RBF),non_microbial,TSS
1,0.3543684833377904,0.29545454545454547,0.4126925770308123,0.05405405405405406,SVC (RBF),non_microbial,TSS
2,0.2403906020423156,0.3409090909090909,0.28413865546218486,0.16216216216216217,SVC (RBF),non_microbial,TSS
3,0.2895119240026307,0.36363636363636365,0.25449929971988794,0.21621621621621623,SVC (RBF),non_microbial,TSS
4,0.3636034228376922,0.3181818181818182,0.3709558823529412,0.1891891891891892,SVC (RBF),non_microbial,TSS
0,0.8142283581350825,0.375,0.6755077030812324,0.10810810810810811,Gaussian Process,non_microbial,TSS
1,0.7920495105502666,0.38636363636363635,0.6755427170868347,0.16216216216216217,Gaussian Process,non_microbial,TSS
2,0.7688553211102249,0.3181818181818182,0.6843487394957983,0.1891891891891892,Gaussian Process,non_microbial,TSS
3,0.7682564535144061,0.2727272727272727,0.6915966386554622,0.16216216216216217,Gaussian Process,non_microbial,TSS
4,0.8101923810223473,0.3522727272727273,0.7276960784313725,0.13513513513513514,Gaussian Process,non_microbial,TSS
0,0.9772053823760651,0.8068181818181818,0.6645658263305322,0.35135135135135137,Decision Tree,non_microbial,TSS
1,0.9552842712393645,0.6931818181818182,0.7068014705882353,0.2972972972972973,Decision Tree,non_microbial,TSS
2,0.9282086151662399,0.6477272727272727,0.65328256302521,0.2972972972972973,Decision Tree,non_microbial,TSS
3,0.916155235051705,0.5681818181818182,0.6049107142857143,0.1891891891891892,Decision Tree,non_microbial,TSS
4,0.9308935491530582,0.6136363636363636,0.6810311624649861,0.2972972972972973,Decision Tree,non_microbial,TSS
0,0.9937638948651749,0.9204545454545454,0.6969800420168067,0.16216216216216217,Random Forest,non_microbial,TSS
1,0.9920619983968653,0.875,0.6522934173669468,0.24324324324324326,Random Forest,non_microbial,TSS
2,0.9973413908246225,0.9204545454545454,0.7761204481792717,0.1891891891891892,Random Forest,non_microbial,TSS
3,0.991146008249024,0.8522727272727273,0.7094362745098038,0.2972972972972973,Random Forest,non_microbial,TSS
4,0.996162797968879,0.8636363636363636,0.7800245098039216,0.43243243243243246,Random Forest,non_microbial,TSS
0,0.8281169789818714,0.3068181818181818,0.6726890756302522,0.10810810810810811,MLPClassifier,non_microbial,TSS
1,0.8188249068347205,0.3409090909090909,0.6941176470588235,0.13513513513513514,MLPClassifier,non_microbial,TSS
2,0.8001845469858528,0.3409090909090909,0.7108543417366946,0.16216216216216217,MLPClassifier,non_microbial,TSS
3,0.7781978414529197,0.2840909090909091,0.705672268907563,0.13513513513513514,MLPClassifier,non_microbial,TSS
4,0.7787481699445867,0.3409090909090909,0.6929621848739496,0.13513513513513514,MLPClassifier,non_microbial,TSS
0,0.7079804692702931,0.19318181818181818,0.6162289915966386,0.08108108108108109,AdaBoostClassifier,non_microbial,TSS
1,0.7740301078815196,0.18181818181818182,0.654359243697479,0.08108108108108109,AdaBoostClassifier,non_microbial,TSS
2,0.7830248749790101,0.22727272727272727,0.6813200280112044,0.13513513513513514,AdaBoostClassifier,non_microbial,TSS
3,0.629989770711767,0.11363636363636363,0.5590686274509804,0.08108108108108109,AdaBoostClassifier,non_microbial,TSS
4,0.7016753424849222,0.11363636363636363,0.6599089635854343,0.10810810810810811,AdaBoostClassifier,non_microbial,TSS
0,0.998420159052781,0.9318181818181818,0.7244397759103641,0.2972972972972973,GaussianNB,non_microbial,TSS
1,0.9981790325095712,0.9545454545454546,0.7935224089635854,0.3783783783783784,GaussianNB,non_microbial,TSS
2,0.9984212219085401,0.9431818181818182,0.7904411764705883,0.3783783783783784,GaussianNB,non_microbial,TSS
3,0.9991362772518646,0.9204545454545454,0.7972338935574229,0.4594594594594595,GaussianNB,non_microbial,TSS
4,0.9991107723577236,0.9431818181818182,0.7651960784313725,0.40540540540540543,GaussianNB,non_microbial,TSS
0,1.0,1.0,0.516281512605042,0.08108108108108109,QuadraticDiscriminantAnalysis,non_microbial,TSS
1,1.0,1.0,0.5224614845938375,0.10810810810810811,QuadraticDiscriminantAnalysis,non_microbial,TSS
2,1.0,1.0,0.4997373949579832,0.05405405405405406,QuadraticDiscriminantAnalysis,non_microbial,TSS
3,1.0,1.0,0.505969887955182,0.08108108108108109,QuadraticDiscriminantAnalysis,non_microbial,TSS
4,1.0,1.0,0.5719100140056022,0.1891891891891892,QuadraticDiscriminantAnalysis,non_microbial,TSS
0,1.0,1.0,0.7427696078431372,0.32432432432432434,Logistic Regression,non_microbial,CSS
1,1.0,1.0,0.7486344537815126,0.32432432432432434,Logistic Regression,non_microbial,CSS
2,1.0,1.0,0.7856617647058823,0.43243243243243246,Logistic Regression,non_microbial,CSS
3,1.0,1.0,0.7883228291316526,0.32432432432432434,Logistic Regression,non_microbial,CSS
4,1.0,1.0,0.7837710084033613,0.4864864864864865,Logistic Regression,non_microbial,CSS
0,0.9651446807037156,0.5340909090909091,0.6276698179271709,0.13513513513513514,KNeighborsClassifier,non_microbial,CSS
1,0.9621935086374016,0.48863636363636365,0.6603991596638655,0.16216216216216217,KNeighborsClassifier,non_microbial,CSS
2,0.9678355298371185,0.5227272727272727,0.6924982492997198,0.1891891891891892,KNeighborsClassifier,non_microbial,CSS
3,0.9640503870884234,0.5,0.6851890756302521,0.24324324324324326,KNeighborsClassifier,non_microbial,CSS
